name,description,price,price_per_unit,category
ALDI Coleslaw,30 oz.,3.89,,Grocery
Pembrook 3-Pack Notebook Set,None,8.99,,Home Goods
Tyson Fresh Chicken Wings,None,2.19,Per Lb.,Deli
Fresh Family Pack Chicken Drumsticks,None,0.99,Per Lb.,Fresh Meat & Poultry Special Buys
Fremont Fish Market Argentine Red Shrimp,16 oz. Frozen,9.99,,Seafood
Earthly Grains Couscous,Assorted Varieties 5.8-10 oz.,1.65,,Grocery
Fresh Family Pack Chicken Breasts,None,2.29,Per Lb.,Fresh Meat & Poultry Special Buys
Emporium Selection Fresh Mozzarella Ball or Pre-Sliced Log,8 oz.,2.69,,Grocery
California Plums or Nectarines,$2.98 per 2-lb. bag,1.49,Per Lb.,Fresh Produce
Specially Selected Vinaigrette Dressing,Assorted Varieties 12 oz.,1.99,,Grocery
Baby Bella Mushrooms,None,1.29,Per 8-oz. Pkg.,Fresh Produce
Emporium Selection Feta Block,Assorted Varieties 8 oz.,3.29,,Dairy
Park Street Deli Pico de Gallo,Mild or Medium 10 oz.,3.29,,Deli
Fresh Chuck & Short Rib Angus Beef Burgers,None,5.89,Per Lb.,Meat & Poultry
Mini Cucumbers,None,1.69,Per 16-oz. Pkg.,Fresh Produce
Strawberries,None,1.65,Per 1-Lb. Pkg.,Fresh Produce
Earthly Grains Rice & Sauce,Assorted Varieties 5.6-5.7 oz.,0.99,,Pantry Essentials
Simply Nature Organic Butternut Squash or Sweet Potatoes,10 oz. Frozen,2.25,,Grocery
ALDI Macaroni Salad,32 oz.,3.89,,Deli
Fremont Fish Market Seafood Boil,35.13 oz. Frozen,8.99,,Seafood
Chopped Salad Kit,Assorted Varieties,2.89,Per 10.8-12.3-oz. Pkg.,Grocery
Morton's of Omaha Fresh Seasoned Tri-Tip,None,5.99,Per Lb.,Grocery
Fresh 80% Lean Ground Beef Patties,None,4.49,Per Lb.,Meat & Poultry
L'oven Fresh Hawaiian Sweet Rolls,12 oz.,2.65,,Fresh Bakery
Organic Blueberries,None,3.49,Per Pint,Fresh Produce
Happy Farms Deluxe American Cheese Slices,16 oz.,2.99,,Dairy
Summit Popz Prebiotic Soda,Assorted Varieties 12 oz.,1.49,,Health & Wellness
Burman's Squeeze Aioli,Assorted Varieties 11 oz.,2.59,,Grocery
Crofton Children's Bento Box,• Includes removable freezer pack,9.99,,Home Goods
Pembrook Academic Planner,None,8.99,,Home Goods
Smile! 3D Mini Erasers,• 24 - Pack,3.99,,Home Goods
KIRKTON HOUSE Kids' Room Wall Art,"16"" x 20""",9.99,Each,Home Goods
Heart to Tail After School Snack Pet Toy,None,9.99,Each,Home Goods
"Ambiano 8"" Air Circulator Fan",None,9.99,,Home Improvement
Heart to Tail 25 lb. Pet Food Container,None,14.99,,Home Goods
KIRKTON HOUSE 2-Pack Stackable Bins,None,14.99,,Home Goods
Avenue or Serra Men's or Ladies' Low-Cut Sneakers,None,12.99,,Home Goods
KIRKTON HOUSE Twin or Full Sheet Set,None,8.99,,Home Goods
Bauhn LED Galaxy Projector,"• Includes remote control, adjustable brightness & timer mode function",14.99,,Grocery
Serra 2-Pack Capri Leggings,None,9.99,,Home Goods
Heart to Tail Cat Scratcher with Catnip,None,6.99,Each,Home Goods
Serra Premium Coastal Jewelry,None,7.99,Each,Miscellaneous
L & D Insulated Lunch Bag,None,8.99,,Home Goods
Heart to Tail Bolstered Crate Mat,"• Medium, Large or Extra - Large",16.99,Each,Home Goods
Hinkler My School Years Journal,• Includes 13 sections from kindergarten to twelfth grade,9.99,,Home Goods
Heart to Tail Pet Hair Broom Set,None,14.99,,Home Goods
Twitter,None,,,
Serra Viscose Linen Dress,None,12.99,,Home Goods
Pinterest,None,,,
KIRKTON HOUSE 2' x 4' Plush or Berber Rug,None,7.99,Each,Home Improvement
KIRKTON HOUSE Ceramic Coin Bank,None,7.99,,Home Goods
Little Town Lift & Learn Toy,"• ABC, 123 or Shapes",4.99,,Miscellaneous
Serra Cotton Gauze Pajamas,None,9.99,Each,Home Goods
Washington Red Cherries,None,2.29,Per Lb.,Fresh Produce
Heart to Tail Pet Snuffle Toy,None,6.99,Each,Home Goods
Pembrook Lunch Notes,• Includes 101 cards & 140 seal stickers,3.99,,Home Goods
Serra 2-Pack Everyday Seamless Bra,None,9.99,,Home Goods
L & D Premium Kids' Backpack,None,14.99,Each,Home Goods
Instagram,None,,,
Smile! Charm or Squish Notebook,None,4.99,,Home Goods
Crofton Kids' Stainless Steel Bottle,None,5.99,Each,Home Goods
KIRKTON HOUSE Twin or Full Reversible Comforter,None,14.99,Each,Home Goods
Park Street Deli Broccoli or Artichoke Chicken Breast,16 oz.,5.19,,Grocery
Season's Choice Steamed California Medley,12 oz. Frozen,1.15,,Grocery
Pueblo Lindo Fajita Tortillas,23 oz.,2.15,,Fresh Bakery
Summit Craft Soda 4-Pack Ginger Beer or Root Beer,Four 12-oz. bottles,2.79,,Beverages
facebook,None,,,
"KIRKTON HOUSE 18"" x 30"" Pet Coir Mat",None,7.99,Each,Home Goods
KIRKTON HOUSE Character Backrest,None,14.99,,Home Goods
