name,description,price,price_per_unit,category
Clancy's Original or Jalapeño Kettle Chips,8 oz.,1.45,Each,Snacks
Fresh Baby Back Pork Ribs,None,3.49,Per Lb.,Meat & Poultry
Fresh Antibiotic Free Family Pack Thin Sliced Chicken Breasts,None,2.99,Per Lb.,Meat & Poultry
Mangoes,None,0.59,Each,Fresh Produce
Avocados,None,0.69,Each,Fresh Produce
PurAqua Hydration Drink Mix Sticks,Assorted Varieties 3.36 oz.,2.89,,Grocery
Kirkwood Seasoned Turkey Burgers,32 oz. Frozen,6.99,,Deli
Fresh Family Pack 93/7 Organic Grass-Fed Ground Beef,Sold in a 4-lb. pkg. for $21.97,5.49,Per Lb.,Meat & Poultry
Utz Cheese Balls,23 oz.,6.98,,Snacks
Cantaloupe,None,1.69,Each,Fresh Produce
Specially Selected 6-Count Brioche Buns,10.58 oz.,3.85,,Fresh Bakery
Benton's Summer Soft Baked Cookies,10 oz.,2.99,Each,Snacks
Blueberries,None,1.89,Per Pint,Fresh Produce
L'oven Fresh Potato Sandwich Rolls,15 oz.,2.19,,Fresh Bakery
Clancy's Barbecue Potato Chips,9.5 oz.,1.59,,Snacks
Smithfield Fresh St. Louis Ribs,None,2.49,Per Lb.,Fresh Meat & Poultry Special Buys
Benner 6-Pack Peach Tea or Peach Zero Tea,Six 16-oz. bottles,4.45,,Beverages
Seedless Cucumbers,None,0.95,Each,Fresh Produce
Happy Farms Deli-Sliced Pepper Jack Cheese,7.5 oz.,1.75,,Dairy
Organic Baby Peeled Carrots,None,1.59,Per 16-oz. Bag,Fresh Produce
Reggano Pasta Salad,Assorted Varieties 7.1 oz.,2.49,,Grocery
Stonemill Grilling Blends,4.4-6.3 oz.,3.29,Each,Home Goods
Sweet Corn,None,1.99,Per 4-Pack,Fresh Produce
Organic Baby Spinach,None,2.59,Per 5-oz. Pkg.,Fresh Produce
Specially Selected Summer Salsa,16 oz.,3.79,Each,Grocery
Park Street Deli Pineapple Jalapeño or Sweet Chili Mango Dip,10 oz.,3.19,Each,Dairy
Simply Nature Organic Chicken or Chicken Cheddar Bratwurst,12 oz.,4.19,Each,Meat & Poultry
Benner Iced Tea Sweet Tea or Half and Half Tea,64 oz.,2.79,,Beverages
KIRKTON HOUSE Bedside Organizer,None,7.99,,Home Improvement
Zak! 2-Pack Plates or 2-Piece Flatware,None,4.99,Each,Home Goods
Disney Character Candle,None,14.99,Each,Miscellaneous
KIRKTON HOUSE Monitor Riser with Drawer,None,14.99,,Home Goods
Disney Collectible Figures,• 7 - Pack,8.99,,Home Goods
KIRKTON HOUSE 3' x 4' Printed Chair Mat,None,19.99,,Home Improvement
KIRKTON HOUSE 3-Pack Mini Collapsible Crates,None,9.99,Each,Home Goods
KIRKTON HOUSE Easel,"• Holds tablets, phones or books in portrait or landscape position",4.99,,Home Goods
LIVE IN STYLE Laptop Sleeve or Tech Case,None,7.99,Each,Miscellaneous
Licensed Toddlers' or Children's Character Slide Sandals,None,5.99,,Outdoor
Licensed Character Backpack,None,14.99,,Home Goods
Bauhn Foldable Bluetooth Keyboard,None,9.99,,Miscellaneous
SOHL Folding Tray Table,None,14.99,,Home Improvement
Bauhn Wireless Charging Clock,None,14.99,,Home Goods
"Bauhn Desktop, Swivel or Wall Plate Charger",None,14.99,Each,Home Goods
Bauhn Fast Charging Power Bank,None,14.99,Each,Home Goods
Bauhn True Wireless Bluetooth Earbuds,None,9.99,,Home Goods
Pembrook Calendar or Planner,• Undated Planner or Flip Calendar,4.99,,Home Goods
Joie Laundry Care Accessories,None,4.99,Each,Home Goods
Easy Home Flexi Hamper,None,4.99,,Home Goods
Easy Home Over the Door Drying Rack,None,14.99,,Home Goods
Easy Home Collapsible Tub or Dish Drainer,None,9.99,,Home Goods
Bauhn Fast Charging Accessories,None,7.99,Each,Miscellaneous
Ambiano Handheld Steamer,None,12.99,,Home Goods
Easy Home HipHold Laundry Basket,None,7.99,,Home Goods
"KIRKTON HOUSE 20"" x 39"" Comfort Mat",None,9.99,,Home Goods
Easy Home Upright Sweep Set,None,8.99,,Home Goods
"KIRKTON HOUSE 20"" x 34"" Memory Foam Bath Mat",None,9.99,,Home Improvement
Benton's Pancake Thins,Blueberry or Maple 3 oz.,2.99,,Snacks
Specially Selected Filled Croissants,Cream Cheese or Raspberry 9.6 oz.,3.99,,Fresh Bakery
Nature's Nectar Canned Coconut Water,16.91 oz.,1.09,,Beverages
L'oven Fresh Mini French Toast Bagels,18 oz.,2.29,,Fresh Bakery
Bake Shop Peanut Butter & Jelly Filled Crepes,6.78 oz.,3.99,,Grocery
Peanut Delight Flavored Peanut Butter,Honey or Dark Chocolate 12 oz.,2.49,,Grocery
"Squishmallows 8"" Stitch",None,11.99,Each,Miscellaneous
Breakfast Best Mini Stuffed Pancakes,"12 oz.
Frozen",3.99,,Grocery
