Product Name,Price,Quantity
Nathan's Famous Bun Length Skinless Beef Franks 8ct,$4.99,12 oz
Groupr Large White Eggs,$7.49,18 count
Jimmy Dean Premium Applewood Smoked Bacon Sliced,$6.99,12 oz
Groupr Purified Drinking Water 35pk,$5.59,35 pk
Yellow Bananas apx 4- 6ct,$1.78,4-6 count
Carolina Gluten Free Long Grain Jasmine Rice,$10.29,5 lb
Rao's Homemade All Marinara Pasta Sauce,$6.99,32 oz jar
Butterball Ground Turkey 93% Lean All Natural,$5.49,16 oz pkg
Kellogg's Frosted Flakes Cereal,$5.29,12 oz
Seedless Green Grapes,$4.99,apx 1.25 lb
Hellmann's Real Mayonnaise,$3.99,11.5 oz sqz
Hot Dog Rolls 8 ct,$1.79,12 oz
Goya Spanish Style Tomato Sauce,$0.79,8 oz
Bubba Burger 1/3lb Angus Beef Chuck Patties 6ct Frozen,$17.49,2 lb
Goya Red Kidney Beans,$2.49,29 oz
Goya Adobo All Purpose Seasoning without Pepper,$1.49,8 oz btl
Goya Black Beans,$1.25,15.6 oz
Wonder Classic Hamburger Buns,$2.99,15 oz pkg
Libby's Vienna Sausages,$1.29,4.6 oz can
Goya 100% Pure Canola Oil,$8.99,48 oz btl
Goya Pure Olive Oil,$5.99,8.5 oz btl
Badia Garlic Powder,$2.99,3 oz btl
Cheerios Gluten Free Cereal,$2.50,8.9 oz box
Groupr Cooked Tail-On Peeled Large Shrimp 31- 40ct per lb Frozen,$17.98,2 lb
Farm Raised Skin-On Atlantic Salmon Fillet Fresh,$8.99,1 lb
Velveeta Original Cheese Block,$7.29,16 oz pkg
Oreo Chocolate sandwich Cookies Family Size,$5.29,18.1 oz pkg
Simply Pulp Free Orange Juice,$5.29,52 oz btl
Martin's Potato Sliced Bread,$4.59,18 oz pkg
Cinnamon Toast Crunch Cereal,$2.50,12 oz box
Bell & Evans Organic Thin Sliced Boneless Skinless Chicken Breasts Fresh,$11.49,apx 1 lb
Blue Diamond Almond Breeze Almondmilk Original,$4.49,96 oz jug
Mott's Mighty Juice Beverage Flying Fruit Punch,$4.49,64 oz btl
Groupr 100% Grape Juice No Added Sugar,$3.99,64 oz btl
Chips Ahoyl Mini Original Chocolate Chip Cookies 10ct,$7.49,10 oz box
Lactaid Lactose Free 1% Low Fat Milk,$5.49,1.5 gallon
Froot Loops Cereal,$4.99,8.9 oz box
Stonyfield Organic Vitamin D Whole Milk,$3.99,1.5 gallon
Sara Lee Classic White Bread,$3.49,20 oz pkg
Mission Carb Balance Low Carb Whole Wheat Tortillas Soft Taco 8 ct,$5.99,12 oz
Entenmann's Little Bites Mini Muffins 8ct,$4.99,9.5 oz box
Boar's head Deli Whole Milk White American Cheese (Regular Sliced),$4.00,apx 1.5 lb
