Category,Product Name,Quantity,Price,Price Per Unit,Unit Type
Household Essentials,Quilted Northern Bath Tissue Mega Roll,6-Pack (1530-1770 sheets),$6.99,$6.99,Pack
Household Essentials,Sparkle Towels,6-Pack (660 sheets),$6.99,$6.99,Pack
Household Essentials,Purex Laundry Detergent,43.5-50 oz,$3.49,$0.07,Bottle
Household Essentials,Snuggle Fabric Softener,26.8-32 oz,$3.49,$0.11,Bottle
Household Essentials,Copy Paper,500 sheets,$3.99,$0.01,Package
Personal Care,Arm & Hammer Body Wash,22.5 fl oz,$0.99,$0.04,Bottle
Household Essentials,Angel Soft Bath Tissue Mega Roll,8-Pack (1920-2560 sheets),$3.50,$3.50,Pack
Household Essentials,Brawny Double Roll Towels,4-Pack (304 sheets),$2.99,$2.99,Pack
Household Essentials,Tide Laundry Detergent,55-63 oz,$9.99,$0.16,Bottle
Household Essentials,Gain Laundry Detergent,22-88 oz,$6.99,$0.08,Package
Coffee & Beverages,Green Mountain Coffee K-Cups,10-count,$5.99,$0.60,Box
Coffee & Beverages,Lavazza Coffee K-Cups,10-count,$10.50,$1.05,Box
Coffee & Beverages,Chock full o'Nuts Ground Coffee,23-26 oz,$9.99,$0.38,Can
Coffee & Beverages,Coke Cans,24-Pack (288 oz),$20.99,$0.87,Pack
Coffee & Beverages,Powerade Sports Drink,28 oz,$0.99,$0.04,Bottle
Coffee & Beverages,4C Iced Tea Mix,47.2-66.1 oz,$3.99,$0.06,Canister
Coffee & Beverages,Pepsi Bottles/Cans,8-12 Pack,$1.99,$0.17,Pack
Coffee & Beverages,Poland Spring Water,24-Pack (405.6 oz),$4.00,$0.17,Pack
Coffee & Beverages,Polar Seltzer,12-Pack (144 oz),$5.50,$0.46,Pack
Coffee & Beverages,Gold Peak Iced Tea,52 fl oz,$1.99,$0.04,Container
Coffee & Beverages,Simply Lemonade & Drinks,52 fl oz,$1.99,$0.04,Container
Produce,Sweet Cantaloupes,1 each,$1.99,$1.99,Each
Food Items,Chicken of the Sea Solid White Tuna,4-5 oz,$0.99,$0.20,Can
Food Items,San Giorgio Pasta,12-16 oz,$0.99,$0.06,Box
Food Items,Bonduelle Grande Salad Bowls,11-12 oz,$3.99,$0.33,Container
Food Items,Francesco Rinaldi Pasta Sauce,15-24 oz,$1.49,$0.06,Jar
Food Items,Little Italy in the Bronx Pasta Sauce,15-24 oz,$2.99,$0.12,Jar
Food Items,Fresh Express Salad Kits,6-12 oz,$2.99,$0.25,Bag
Produce,Eastern Peaches,1 lb,$0.99,$0.99,Pound
Food Items,Bowl & Basket Oil,1 gallon,$5.99,$5.99,Bottle
Food Items,Sweet Baby Ray's BBQ Sauce,12-18 oz,$1.99,$0.11,Bottle
Food Items,Planters Dry Roasted Nuts,16 oz,$1.99,$0.12,Jar
Meat & Seafood,Bowl & Basket Turkey Breast,1 lb,$8.99,$8.99,Pound
Meat & Seafood,Black Bear American Cheese,1 lb,$5.99,$5.99,Pound
Meat & Seafood,Flat Iron Steak,1 lb,$7.99,$7.99,Pound
Meat & Seafood,Perdue Chicken Drumsticks,1 lb,$0.99,$0.99,Pound
Meat & Seafood,Certified Angus Beef Flat Iron Steak,1 lb,$8.99,$8.99,Pound
Meat & Seafood,Wild Caught Lobster Tails,4 oz,$11.98,$3.00,Package
Meat & Seafood,Bowl & Basket Large EZ-Peel Shrimp,2 lb,$11.98,$5.99,Bag
Meat & Seafood,Bone-In Center Cut Pork Chops,1 lb,$2.49,$2.49,Pound
Meat & Seafood,Bowl & Basket 8-Piece Fried Drums & Thighs,26 oz,$6.99,$0.27,Package
Meat & Seafood,Fresh Premium Atlantic Salmon Fillet,1 lb,$10.99,$10.99,Pound
Meat & Seafood,Perdue Chicken Wings,1 lb,$2.99,$2.99,Pound
Meat & Seafood,Hanger Steaks,1 lb,$10.99,$10.99,Pound
Dairy & Refrigerated,Turkey Hill Ice Cream,46 oz,$1.99,$0.04,Container
Dairy & Refrigerated,Hatfield Bacon,1 lb,$2.99,$2.99,Package
Frozen Foods,Freschetta Pizza,17.71-30.88 oz,$3.99,$0.13,Package
Dairy & Refrigerated,Hellmann's Real Mayonnaise,20-36 oz,$4.99,$0.14,Container
Dairy & Refrigerated,Oscar Mayer Beef Franks,15-16 oz,$2.99,$0.19,Package
Dairy & Refrigerated,Chobani Greek Yogurt,18-21.2 oz,$3.50,$0.17,Package
Dairy & Refrigerated,Tropicana Orange Juice,46 fl oz,$3.99,$0.09,Container
Dairy & Refrigerated,Silk Milk,59-64 oz,$3.50,$0.06,Container
Dairy & Refrigerated,Bowl & Basket Butter,1 lb,$4.49,$4.49,Package
Dairy & Refrigerated,Galbani Ricotta,28-32 oz,$2.49,$0.08,Container
Food Items,General Mills Cereal,11.2-16.8 oz,$1.99,$0.12,Box
Food Items,Entenmann's Little Bites,7-9.75 oz,$3.00,$0.31,Box
Snacks & Candy,Nature Valley Granola Bars,6.7-8.94 oz,$1.99,$0.22,Box
Snacks & Candy,Betty Crocker Fruit Snacks,4.5-8 oz,$1.99,$0.25,Box
Food Items,Skippy Peanut Butter,15-16.3 oz,$1.99,$0.12,Jar
Food Items,Kraft Macaroni & Cheese,5.5-7.25 oz,$0.99,$0.14,Box
Food Items,Hunt's Tomatoes,28-29 oz,$0.99,$0.03,Can
Frozen Foods,Pillsbury Toaster Strudel,11.7 oz,$1.99,$0.17,Package
Frozen Foods,Talenti Layers & Gelato,10.3-11.5 oz,$1.99,$0.17,Container
Frozen Foods,Banquet Brown'N Serve Sausages,6.4 oz,$2.99,$0.47,Package
Snacks & Candy,Nabisco Oreo Cookies Family Size,10.68-18.71 oz,$3.00,$0.16,Package
Snacks & Candy,Keebler Cookies,7.7-14.8 oz,$1.75,$0.12,Package
Snacks & Candy,Cheetos or Doritos,7-11.25 oz,$3.33,$0.30,Bag
Snacks & Candy,Cape Cod or Kettle Brand Potato Chips,6.5-8.5 oz,$3.50,$0.41,Bag
Snacks & Candy,Swedish Fish or Sour Patch Kids,6.7-8.07 oz,$2.50,$0.31,Bag
Snacks & Candy,Starburst or Skittles Sharing Size,12-15.6 oz,$4.50,$0.29,Bag
Snacks & Candy,Hershey's Chocolate Bars 6-Pack,8.4-9.3 oz,$3.99,$0.43,Package
Snacks & Candy,Wise Potato Chips,7.5-7.87 oz,$2.33,$0.30,Bag
Snacks & Candy,Pringles Potato Crisps Snack Stacks,12.9 oz,$10.99,$0.85,Package
Produce,Large Hass Avocados,1 each,$1.34,$1.34,Each
Produce,Organic Blueberries,1 dry pint,$4.74,$4.74,Pint
Produce,Tree Ripe Mangoes,1 each,$1.99,$1.99,Each
Produce,Tomatoes On The Vine,1 lb,$1.49,$1.49,Pound
Produce,Romaine Hearts,3-pack,$2.50,$0.83,Package
Produce,Red Green or Black Seedless Grapes,1 lb,$2.49,$2.49,Pound
Produce,Mandarins 3-lb or Halos 2-lb Bag,2-3 lb,$4.99,$1.66,Bag
Produce,Green Beans,1 lb,$1.49,$1.49,Pound
Produce,White Cauliflower,1 each,$2.50,$2.50,Each
Produce,Navel Oranges,1 each,$1.00,$1.00,Each
Produce,White Peaches or White Nectarines,1 lb,$2.99,$2.99,Pound
Produce,Fresh Express Cole Slaw,14 oz,$0.99,$0.07,Bag
Produce,Green Peppers,1 lb,$1.49,$1.49,Pound
Produce,Super Select Cucumbers,1 each,$0.66,$0.66,Each
Personal Care,Colgate Optic White Toothpaste,3.3-6 oz,$4.00,$0.67,Tube
Personal Care,Hanes T-Shirts,3-4 pack,$3.99,$1.00,Package
Household Essentials,All Laundry Detergent,73-88 oz,$4.00,$0.05,Bottle
Personal Care,Colgate Toothpaste,8 oz,$4.00,$0.50,Tube
Personal Care,Always Pads Underwear & Liners,7-162 count,$10.99,$0.07,Package
Personal Care,Nature Made Value Size Vitamins,120-400 count,$7.99,$0.02,Bottle
Personal Care,Listerine Mouthwash,16.9-33.8 fl oz,$2.50,$0.07,Bottle
Personal Care,Pampers Diapers Super Pack,44-112 count,$32.99,$0.29,Package
Household Cleaning,Pledge Furniture Polish,9.7 oz,$1.19,$0.12,Can
Household Cleaning,Charmin Bath Tissue Mega Roll,18-Pack,$12.99,$0.72,Package
Household Cleaning,Dawn Powerwash Dish Spray,16 oz,$4.99,$0.31,Bottle
Household Cleaning,Febreze Plug Scent Booster,1 each,$11.99,$11.99,Each
Household Cleaning,Febreze Car Vent Air Freshener,2-Pack,$3.99,$2.00,Package
Household Cleaning,Downy Fabric Softener,5-51 oz,$5.49,$0.11,Bottle
Household Cleaning,Tide Simply Laundry Detergent,105-117 oz,$3.49,$0.03,Bottle
Household Cleaning,Palmolive or Ajax Dish Detergent,32.5-52 oz,$2.99,$0.06,Bottle
Household Cleaning,Windex Cleaner,19-23 oz,$2.99,$0.13,Bottle
