Product_Name,Groupr_Price,Aldi_Product,Aldi_Price,Aldi_Confidence,KeyFoods_Product,KeyFoods_Price,KeyFoods_Confidence,ShopRite_Product,ShopRite_Price,ShopRite_Confidence,Lowest_Price_Store
Nathan's Famous Bun Length Skinless Beef Franks 8ct,4.99,Not Found,,0,Nathan's Beef Franks,4.99,60,Not Found,,0,Groupr ($4.99)
Groupr Large White Eggs,7.49,Not Found,,0,Sunshine Farms Extra Large Eggs,1.0,60,Not Found,,0,KeyFoods ($1.00)
Jimmy Dean Premium Applewood Smoked Bacon Sliced,6.99,Not Found,,0,Not Found,,0,Not Found,,0,Groupr ($6.99)
Groupr Purified Drinking Water 35pk,5.59,Not Found,,0,Pure Life Water,2.0,63,Not Found,,0,KeyFoods ($2.00)
Yellow Bananas apx 4- 6ct,1.78,Not Found,,0,Not Found,,0,Not Found,,0,Groupr ($1.78)
Carolina Gluten Free Long Grain Jasmine Rice,10.29,Not Found,,0,Carolina Long Grain Rice,8.99,71,Not Found,,0,KeyFoods ($8.99)
Rao's Homemade All Marinara Pasta Sauce,6.99,Not Found,,0,Not Found,,0,Not Found,,0,Groupr ($6.99)
Butterball Ground Turkey 93% Lean All Natural,5.49,Not Found,,0,Butterball Ground Turkey,4.99,71,Not Found,,0,KeyFoods ($4.99)
Kellogg's Frosted Flakes Cereal,5.29,Not Found,,0,Not Found,,0,Not Found,,0,Groupr ($5.29)
Seedless Green Grapes,4.99,Not Found,,0,Not Found,,0,Red Green or Black Seedless Grapes,2.49,76,ShopRite ($2.49)
Hellmann's Real Mayonnaise,3.99,Not Found,,0,Not Found,,0,Hellmann's Real Mayonnaise,4.99,100,Groupr ($3.99)
Hot Dog Rolls 8 ct,1.79,Not Found,,0,Not Found,,0,Not Found,,0,Groupr ($1.79)
Goya Spanish Style Tomato Sauce,0.79,Not Found,,0,Not Found,,0,Not Found,,0,Groupr ($0.79)
Bubba Burger 1/3lb Angus Beef Chuck Patties 6ct Frozen,17.49,Not Found,,0,Not Found,,0,Not Found,,0,Groupr ($17.49)
Goya Red Kidney Beans,2.49,Not Found,,0,Goya Dominican Red Kidney Beans,2.0,81,Not Found,,0,KeyFoods ($2.00)
Goya Adobo All Purpose Seasoning without Pepper,1.49,Not Found,,0,Not Found,,0,Not Found,,0,Groupr ($1.49)
Goya Black Beans,1.25,Not Found,,0,Not Found,,0,Not Found,,0,Groupr ($1.25)
Wonder Classic Hamburger Buns,2.99,Not Found,,0,Not Found,,0,Not Found,,0,Groupr ($2.99)
Libby's Vienna Sausages,1.29,Not Found,,0,Libby's Vienna Sausage,5.0,98,Not Found,,0,Groupr ($1.29)
Goya 100% Pure Canola Oil,8.99,Not Found,,0,Not Found,,0,Not Found,,0,Groupr ($8.99)
Goya Pure Olive Oil,5.99,Not Found,,0,Not Found,,0,Not Found,,0,Groupr ($5.99)
Badia Garlic Powder,2.99,Not Found,,0,Not Found,,0,Not Found,,0,Groupr ($2.99)
Cheerios Gluten Free Cereal,2.5,Not Found,,0,Not Found,,0,Not Found,,0,Groupr ($2.50)
Groupr Cooked Tail-On Peeled Large Shrimp 31- 40ct per lb Frozen,17.98,Not Found,,0,Not Found,,0,Not Found,,0,Groupr ($17.98)
Farm Raised Skin-On Atlantic Salmon Fillet Fresh,8.99,Not Found,,0,Not Found,,0,Fresh Premium Atlantic Salmon Fillet,10.99,74,Groupr ($8.99)
Velveeta Original Cheese Block,7.29,Not Found,,0,Not Found,,0,Not Found,,0,Groupr ($7.29)
Oreo Chocolate sandwich Cookies Family Size,5.29,Not Found,,0,Not Found,,0,Nabisco Oreo Cookies Family Size,3.0,64,ShopRite ($3.00)
Simply Pulp Free Orange Juice,5.29,Not Found,,0,Not Found,,0,Not Found,,0,Groupr ($5.29)
Martin's Potato Sliced Bread,4.59,Not Found,,0,Not Found,,0,Not Found,,0,Groupr ($4.59)
Cinnamon Toast Crunch Cereal,2.5,Not Found,,0,Not Found,,0,Not Found,,0,Groupr ($2.50)
Bell & Evans Organic Thin Sliced Boneless Skinless Chicken Breasts Fresh,11.49,Fresh Antibiotic Free Family Pack Thin Sliced Chicken Breasts,2.99,64,Not Found,,0,Not Found,,0,Aldi ($2.99)
Blue Diamond Almond Breeze Almondmilk Original,4.49,Not Found,,0,Not Found,,0,Not Found,,0,Groupr ($4.49)
Mott's Mighty Juice Beverage Flying Fruit Punch,4.49,Not Found,,0,Not Found,,0,Not Found,,0,Groupr ($4.49)
Groupr 100% Grape Juice No Added Sugar,3.99,Not Found,,0,Not Found,,0,Not Found,,0,Groupr ($3.99)
Chips Ahoyl Mini Original Chocolate Chip Cookies 10ct,7.49,Not Found,,0,Not Found,,0,Not Found,,0,Groupr ($7.49)
Lactaid Lactose Free 1% Low Fat Milk,5.49,Not Found,,0,Not Found,,0,Not Found,,0,Groupr ($5.49)
Froot Loops Cereal,4.99,Not Found,,0,Not Found,,0,Not Found,,0,Groupr ($4.99)
