Original_Product_Name,Product_Type,Groupr_Price,Aldi_Product,Aldi_Price,Aldi_Confidence,KeyFoods_Product,KeyFoods_Price,KeyFoods_Confidence,ShopRite_Product,ShopRite_Price,ShopRite_Confidence,Lowest_Price_Store,Savings_vs_Groupr
Nathan's Famous Bun Length Skinless Beef Franks 8ct,hot dogs,4.99,Not Found,,0,Urban Meadow Beef Franks,3.99,100,Oscar Mayer Beef Franks,2.99,100,ShopRite ($2.99),$2.00 (40.1%)
Groupr Large White Eggs,eggs,7.49,Not Found,,0,Not Found,,0,Not Found,,0,Groupr ($7.49),No savings
Jimmy Dean Premium Applewood Smoked Bacon Sliced,bacon,6.99,Not Found,,0,Oscar Mayer Bacon,10.99,100,Not Found,,0,Groupr ($6.99),No savings
Groupr Purified Drinking Water 35pk,water,5.59,Not Found,,0,Not Found,,0,Poland Spring Water,4.0,100,ShopRite ($4.00),$1.59 (28.4%)
Yellow Bananas apx 4- 6ct,yellow bananas,1.78,Not Found,,0,Not Found,,0,Not Found,,0,Groupr ($1.78),No savings
Carolina Gluten Free Long Grain Jasmine Rice,rice,10.29,Not Found,,0,Carolina Long Grain Rice,8.99,100,Not Found,,0,KeyFoods ($8.99),$1.30 (12.6%)
Rao's Homemade All Marinara Pasta Sauce,all marinara pasta sauce,6.99,Not Found,,0,Not Found,,0,Not Found,,0,Groupr ($6.99),No savings
Butterball Ground Turkey 93% Lean All Natural,turkey ground,5.49,Not Found,,0,Butterball Ground Turkey,4.99,100,Not Found,,0,KeyFoods ($4.99),$0.50 (9.1%)
Kellogg's Frosted Flakes Cereal,cereal,5.29,Not Found,,0,Not Found,,0,Not Found,,0,Groupr ($5.29),No savings
Seedless Green Grapes,green grapes,4.99,Not Found,,0,Not Found,,0,Not Found,,0,Groupr ($4.99),No savings
Hellmann's Real Mayonnaise,mayonnaise,3.99,Not Found,,0,Not Found,,0,Hellmann's Real Mayonnaise,4.99,100,Groupr ($3.99),No savings
Hot Dog Rolls 8 ct,hot dog buns,1.79,Not Found,,0,Not Found,,0,Not Found,,0,Groupr ($1.79),No savings
Goya Spanish Style Tomato Sauce,pasta sauce,0.79,Not Found,,0,Not Found,,0,Not Found,,0,Groupr ($0.79),No savings
Bubba Burger 1/3lb Angus Beef Chuck Patties 6ct Frozen,burger 1 angus beef chuck patties,17.49,Not Found,,0,Not Found,,0,Not Found,,0,Groupr ($17.49),No savings
