name,description,price,price_per_unit,category
RUSSER WUNDERBAR BOLOGNA,None,3.99,LB.,Meat & Seafood
CALIFIA FARMS ALMOND MILK,"or Oat, Coconut
48 Oz. Btl.",3.99,,Dairy
MAPLE GLAZED DONUTS,12 Ct. 24 Oz. Pkg.,4.99,,Grocery
POLAND SPRING WATER,24 Pk. 16.9 Oz. Btls.,12.00,,Snacks & Beverage
CAROLINA RICE,"Extra Long Grain

20 lb. Bag

With Add'l $125 Purchase",20.00,,Grocery
LA CREMOSA CONDENSED CREAMER,"Sweetened

13.4 Oz. Can",3.00,,Dairy
BONELESS PORK FOR STEW,Fresh Lean,2.99,LB.,Meat & Seafood
PERDUE WHOLE CHICKEN BREAST W/RIBS,"U.S.D.A. Grade ""A"", No Antibiotics Added Ever, Twin Pack",1.79,LB.,Fresh Meat & Deli
BEEF ROUND STEAK FOR BRACIOLE,U.S.D.A. Choice,7.99,LB.,Fresh Meat & Deli
"DIGIORNO 12"" PIZZA","or Thin Crust, Croissant, Hand Tossed

16.9-29.3 Oz. Box",5.99,,Fresh Meat & Deli
PERDUE WHOLE CHICKEN BREAST w/RIBS,"U.S.D.A. Grade ""A"", No Antibiotics Added Ever, Single Pack",1.99,LB.,Fresh Meat & Deli
SSIPS DRINKS,59 Oz. Cntrs.,3.00,,Snacks & Beverage
BELL & EVANS WHOLE CHICKEN LEGS,"Ultra Premium, Natural",3.69,LB.,Meat & Seafood
OLD NEIGHBORHOOD SHAVED BEEF STEAK,10 Oz. Pkg.,5.99,,Fresh Meat & Deli
SHAVED CHICKEN BREAST,10 oz. Pkg.,4.99,,Meat & Seafood
CHICKEN FAJITA STRIPS,12 oz. Pkg.,6.99,,Fresh Meat & Deli
SIGGI'S YOGURT,"Assorted Varieties
4.4-5.3 Oz. Cups",4.00,,Dairy
CHICKEN TENDERS,"ULTRA PREMIUM, NATURAL",7.99,lb.,Fresh Meat & Deli
CUBED STEAK,None,7.99,lb.,Fresh Meat & Deli
AUTHENTICITY PROVISIONS GRASS FED GROUND BEEF,16 Oz. Pkg.,9.99,,Fresh Meat & Deli
KRASDALE FRESH WHIPPED CREAM,6.5 Oz. Can,5.00,,Dairy
