name,description,price,price_per_unit,category
ALDI Coleslaw,30 oz.,,,
Pembrook 3-Pack Notebook Set,,,,
Tyson Fresh Chicken Wings,,,Per Lb.,
Fresh Family Pack Chicken Drumsticks,,,Per Lb.,
Fremont Fish Market Argentine Red Shrimp,16 oz. Frozen,,,
Earthly Grains Couscous,Assorted Varieties 5.8-10 oz.,,,
Fresh Family Pack Chicken Breasts,,,Per Lb.,
Emporium Selection Fresh Mozzarella Ball or Pre-Sliced Log,8 oz.,,,
California Plums or Nectarines,$2.98 per 2-lb. bag,,Per Lb.,
Specially Selected Vinaigrette Dressing,Assorted Varieties 12 oz.,PRICE DROPS,,
Baby Bella Mushrooms,,,Per 8-oz. Pkg.,
Emporium Selection Feta Block,Assorted Varieties 8 oz.,,,
Park Street Deli Pico de Gallo,Mild or Medium 10 oz.,,,
Fresh Chuck & Short Rib Angus Beef Burgers,,,Per Lb.,
Mini Cucumbers,,,Per 16-oz. Pkg.,
Strawberries,,,Per 1-Lb. Pkg.,
Earthly Grains Rice & Sauce,Assorted Varieties 5.6-5.7 oz.,,,
Simply Nature Organic Butternut Squash or Sweet Potatoes,10 oz. Frozen,,,
ALDI Macaroni Salad,32 oz.,,,
Fremont Fish Market Seafood Boil,35.13 oz. Frozen,,,
Chopped Salad Kit,Assorted Varieties,,Per 10.8-12.3-oz. Pkg.,
Morton's of Omaha Fresh Seasoned Tri-Tip,,,Per Lb.,
Fresh 80% Lean Ground Beef Patties,,,Per Lb.,
L'oven Fresh Hawaiian Sweet Rolls,12 oz.,,,
Organic Blueberries,,,Per Pint,
Happy Farms Deluxe American Cheese Slices,16 oz.,,,
Summit Popz Prebiotic Soda,Assorted Varieties 12 oz.,,,
Burman's Squeeze Aioli,Assorted Varieties 11 oz.,,,
Crofton Children's Bento Box,• Includes removable freezer pack,,,
Pembrook Academic Planner,,,,
Smile! 3D Mini Erasers,• 24 - Pack,,,
KIRKTON HOUSE Kids' Room Wall Art,"16"" x 20""",,Each,
Heart to Tail After School Snack Pet Toy,,,Each,
"Ambiano 8"" Air Circulator Fan",,,,
Heart to Tail 25 lb. Pet Food Container,,,,
KIRKTON HOUSE 2-Pack Stackable Bins,,,,
Avenue or Serra Men's or Ladies' Low-Cut Sneakers,,,,
KIRKTON HOUSE Twin or Full Sheet Set,,,,
Bauhn LED Galaxy Projector,"• Includes remote control, adjustable brightness & timer mode function",,,
Serra 2-Pack Capri Leggings,,,,
Heart to Tail Cat Scratcher with Catnip,,,Each,
Serra Premium Coastal Jewelry,,,Each,
L & D Insulated Lunch Bag,,,,
Heart to Tail Bolstered Crate Mat,"• Medium, Large or Extra - Large",,Each,
Hinkler My School Years Journal,• Includes 13 sections from kindergarten to twelfth grade,,,
Heart to Tail Pet Hair Broom Set,,,,
Twitter,,,,
Serra Viscose Linen Dress,,,,
Pinterest,,,,
KIRKTON HOUSE 2' x 4' Plush or Berber Rug,,,Each,
